Google,Meta
Jeff Dean,Laurens van der Maaten
Oriol Vinyals,Alexandre Gramfort
Greg Corrado,Sven Kreiss
Anna Henrichs,Luke Zettlemoyer
Alexey Svyatkovskiy,Jason Weston
Dumitru Erhan,Soumith Chintala
Jeremy Miles,C. Lawrence Zitnick
Fabian Pedregosa,Devi Parikh
Kristina Toutanova,Rylan Conway
Ming-Wei Chang,Dhruv Batra
Kenton Lee,Zhuang Liu
Ron J Weiss,Edward Z. Yang
Timothy P. Lillicrap,Peter Capak
Rishiraj Pravahan,Arvind Neelakantan
David Warde-Farley,Sharan Narang
Kevin Murphy,Johannes Sch?nberger
Mathieu Blondel,Piotr Bojanowski
Michael Isard,Tao Xiang
Kai Chen,Cheng-Yang Fu
